Latitude,phh2o,sand,silt,nitrogen,ocs,bdod,clay,ocd,soc,wv0010,wv0033,wv1500,Error,Longitude,cec,cfvo
13.6,,,,,,,,,,,,,No data available,74.5,,
13.6,,,,,,,,,,,,,No data available,74.6,,
13.6,,,,,,,,,,,,,No data available,74.7,,
13.6,,,,,,,,,,,,,No data available,74.8,,
13.6,,,,,,,,,,,,,No data available,74.9,,
13.6,,,,,,,,,,,,,No data available,75.0,,
13.6,,,,,,,,,,,,,No data available,75.1,,
13.6,,,,,,,,,,,,,No data available,75.2,,
13.6,,,,,,,,,,,,,No data available,75.3,,
13.6,,,,,,,,,,,,,No data available,75.4,,
13.6,,,,,,,,,,,,,No data available,75.5,,
13.6,,,,,,,,,,,,,No data available,75.6,,
13.6,,,,,,,,,,,,,No data available,75.7,,
13.6,,,,,,,,,,,,,No data available,75.8,,
13.6,,,,,,,,,,,,,No data available,75.9,,
13.6,,,,,,,,,,,,,No data available,76.0,,
13.6,,,,,,,,,,,,,No data available,76.1,,
13.6,,,,,,,,,,,,,No data available,76.2,,
13.6,,,,,,,,,,,,,No data available,76.3,,
13.6,,,,,,,,,,,,,No data available,76.4,,
13.6,,,,,,,,,,,,,No data available,76.5,,
13.6,,,,,,,,,,,,,No data available,76.6,,
13.6,,,,,,,,,,,,,No data available,76.7,,
13.6,,,,,,,,,,,,,No data available,76.8,,
13.6,,,,,,,,,,,,,No data available,76.9,,
13.6,,,,,,,,,,,,,No data available,77.0,,
13.6,,,,,,,,,,,,,No data available,77.1,,
13.6,,,,,,,,,,,,,No data available,77.2,,
13.6,,,,,,,,,,,,,No data available,77.3,,
13.6,,,,,,,,,,,,,No data available,77.4,,
13.6,,,,,,,,,,,,,No data available,77.5,,
13.6,,,,,,,,,,,,,No data available,77.6,,
13.6,,,,,,,,,,,,,No data available,77.7,,
13.6,,,,,,,,,,,,,No data available,77.8,,
13.6,,,,,,,,,,,,,No data available,77.9,,
13.6,,,,,,,,,,,,,No data available,78.0,,
13.6,,,,,,,,,,,,,No data available,78.1,,
13.6,,,,,,,,,,,,,No data available,78.2,,
13.6,,,,,,,,,,,,,No data available,78.3,,
13.6,,,,,,,,,,,,,No data available,78.4,,
13.6,,,,,,,,,,,,,No data available,78.5,,
13.6,,,,,,,,,,,,,No data available,78.6,,
13.6,,,,,,,,,,,,,No data available,78.7,,
13.6,,,,,,,,,,,,,No data available,78.8,,
13.6,,,,,,,,,,,,,No data available,78.9,,
13.6,,,,,,,,,,,,,No data available,79.0,,
13.6,,,,,,,,,,,,,No data available,79.1,,
13.6,,,,,,,,,,,,,No data available,79.2,,
