soc,Longitude,Latitude,wv0010,phh2o,wv0033,Error,silt,wv1500,cfvo,clay,nitrogen,ocs,bdod,ocd,sand,cec
,74.8,13.1,,,,No data available,,,,,,,,,,
,74.9,13.1,,,,No data available,,,,,,,,,,
,75,13.1,,,,No data available,,,,,,,,,,
,75.1,13.1,,,,No data available,,,,,,,,,,
,75.2,13.1,,,,No data available,,,,,,,,,,
,75.3,13.1,,,,No data available,,,,,,,,,,
494,75.4,13.1,412,55,338,,193,182,188,331,553,81,107,429,476,233
,75.5,13.1,,,,No data available,,,,,,,,,,
,75.6,13.1,,,,No data available,,,,,,,,,,
,75.7,13.1,,,,No data available,,,,,,,,,,
,75.8,13.1,,,,No data available,,,,,,,,,,
,75.9,13.1,,,,No data available,,,,,,,,,,
,76,13.1,,,,No data available,,,,,,,,,,
,76.1,13.1,,,,No data available,,,,,,,,,,
,76.2,13.1,,,,No data available,,,,,,,,,,
,76.3,13.1,,,,No data available,,,,,,,,,,
,76.4,13.1,,,,No data available,,,,,,,,,,
,76.5,13.1,,,,No data available,,,,,,,,,,
,76.6,13.1,,,,No data available,,,,,,,,,,
,76.7,13.1,,,,No data available,,,,,,,,,,
,76.8,13.1,,,,No data available,,,,,,,,,,
,76.9,13.1,,,,No data available,,,,,,,,,,
,77,13.1,,,,No data available,,,,,,,,,,
,77.1,13.1,,,,No data available,,,,,,,,,,
,77.2,13.1,,,,No data available,,,,,,,,,,
,77.3,13.1,,,,No data available,,,,,,,,,,
,77.4,13.1,,,,No data available,,,,,,,,,,
,77.5,13.1,,,,No data available,,,,,,,,,,
,77.6,13.1,,,,No data available,,,,,,,,,,
,77.7,13.1,,,,No data available,,,,,,,,,,
,77.8,13.1,,,,No data available,,,,,,,,,,
,77.9,13.1,,,,No data available,,,,,,,,,,
,78,13.1,,,,No data available,,,,,,,,,,
,78.1,13.1,,,,No data available,,,,,,,,,,
,78.2,13.1,,,,No data available,,,,,,,,,,
,78.3,13.1,,,,No data available,,,,,,,,,,
,78.4,13.1,,,,No data available,,,,,,,,,,
,78.5,13.1,,,,No data available,,,,,,,,,,
,78.6,13.1,,,,No data available,,,,,,,,,,
,78.7,13.1,,,,No data available,,,,,,,,,,
,78.8,13.1,,,,No data available,,,,,,,,,,
,78.9,13.1,,,,No data available,,,,,,,,,,
,79,13.1,,,,No data available,,,,,,,,,,
,79.1,13.1,,,,No data available,,,,,,,,,,
