Latitude,Longitude,clay,cec,ocs,sand,silt,ocd,nitrogen,wv1500,cfvo,wv0033,wv0010,soc,bdod,phh2o
8.2,93.5,267,193,65,444,289,424,492,148,92,330,361,558.0,81.0,54
8.3,77.1,327,245,57,367,306,356,461,191,110,284,370,528.0,135.0,61
8.3,77.2,296,186,50,401,303,311,426,186,65,278,379,408.0,134.0,56
8.3,77.3,350,210,54,364,286,339,426,195,135,278,355,514.0,135.0,57
8.3,77.4,354,214,58,352,294,366,482,178,133,270,378,526.0,126.0,58
8.3,77.5,361,205,63,357,282,406,462,179,117,290,375,510.0,120.0,57
8.3,77.6,347,272,43,368,285,328,250,167,53,269,366,268.0,141.0,64
8.3,77.7,331,247,38,399,269,274,244,160,77,281,351,432.0,141.0,70
8.3,77.8,320,283,43,371,309,297,256,176,63,294,348,639.0,145.0,68
8.3,77.9,283,239,36,379,338,274,224,168,124,304,348,422.0,138.0,69
8.3,79.9,267,211,70,456,278,384,525,196,99,314,334,766.0,122.0,59
8.3,80.0,257,160,55,562,181,336,485,192,87,301,347,568.0,125.0,57
8.3,80.1,300,180,57,498,202,351,408,194,105,311,344,481.0,129.0,58
8.3,80.2,271,207,54,506,223,354,321,181,86,319,324,407.0,136.0,60
8.3,80.3,253,166,53,532,214,358,373,189,89,301,354,393.0,135.0,61
8.3,80.4,280,186,59,496,224,368,369,176,107,317,347,364.0,138.0,60
8.3,80.5,300,181,52,482,218,324,352,173,95,306,361,371.0,133.0,59
8.3,80.6,279,172,54,458,263,356,514,181,124,311,348,428.0,129.0,58
8.3,80.7,280,209,55,423,297,355,475,200,149,310,378,403.0,128.0,59
8.3,80.8,294,217,57,402,304,391,517,209,165,311,378,515.0,130.0,59
8.3,80.9,326,202,65,344,330,372,628,198,188,308,387,821.0,111.0,57
8.3,81.0,336,199,53,334,330,372,508,200,114,306,386,653.0,130.0,59
8.3,81.1,356,260,58,339,305,361,466,204,89,303,391,555.0,130.0,62
8.3,81.2,283,274,64,363,354,398,693,205,93,316,371,950.0,115.0,58
