Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall
8.0,68.0,0.0,28.26,80.62,3.19
8.0,68.1,0.0,28.26,80.62,3.19
8.0,68.2,0.0,28.26,80.62,3.19
8.0,68.3,0.0,28.26,80.62,3.19
8.0,68.4,0.0,28.26,80.62,3.19
8.0,68.5,0.0,28.35,79.47,3.42
8.0,68.6,0.0,28.35,79.47,3.42
8.0,68.7,0.0,28.35,79.47,3.42
8.0,68.8,0.0,28.35,79.47,3.42
8.0,68.9,0.0,28.35,79.47,3.42
8.0,69.0,0.0,28.35,79.47,3.42
8.0,69.1,0.0,28.39,78.53,2.43
8.0,69.2,0.0,28.39,78.53,2.43
8.0,69.3,0.0,28.39,78.53,2.43
8.0,69.4,0.0,28.39,78.53,2.43
8.0,69.5,0.0,28.39,78.53,2.43
8.0,69.6,0.0,28.39,78.53,2.43
8.0,69.7,0.0,28.4,77.93,3.83
8.0,69.8,0.0,28.4,77.93,3.83
8.0,69.9,0.0,28.4,77.93,3.83
8.0,70.0,0.0,28.4,77.93,3.83
8.0,70.1,0.0,28.4,77.93,3.83
8.0,70.2,0.0,28.4,77.93,3.83
8.0,70.3,0.0,28.4,77.93,3.83
8.0,70.4,0.0,28.53,76.49,5.83
8.0,70.5,0.0,28.53,76.49,5.83
8.0,70.6,0.0,28.53,76.49,5.83
8.0,70.7,0.0,28.53,76.49,5.83
8.0,70.8,0.0,28.53,76.49,5.83
8.0,70.9,0.0,28.53,76.49,5.83
8.0,71.0,0.0,28.55,75.61,3.76
8.0,71.1,0.0,28.55,75.61,3.76
8.0,71.2,0.0,28.55,75.61,3.76
8.0,71.3,0.0,28.55,75.61,3.76
8.0,71.4,0.0,28.55,75.61,3.76
8.0,71.5,0.0,28.55,75.61,3.76
8.0,71.6,0.0,28.43,75.5,1.07
8.0,71.7,0.0,28.43,75.5,1.07
8.0,71.8,0.0,28.43,75.5,1.07
8.0,71.9,0.0,28.43,75.5,1.07
8.0,72.0,0.0,28.43,75.5,1.07
8.0,72.1,0.0,28.43,75.5,1.07
8.0,72.2,0.0,28.3,74.41,4.55
8.0,72.3,0.0,28.3,74.41,4.55
8.0,72.4,0.0,28.3,74.41,4.55
8.0,72.5,0.0,28.3,74.41,4.55
8.0,72.6,0.0,28.3,74.41,4.55
8.0,72.7,0.0,28.3,74.41,4.55
8.0,72.8,0.0,28.3,74.41,4.55
8.0,72.9,0.0,27.52,76.64,1.43
8.0,73.0,0.0,27.52,76.64,1.43
8.0,73.1,0.0,27.52,76.64,1.43
8.0,73.2,0.0,27.52,76.64,1.43
8.0,73.3,0.0,27.52,76.64,1.43
8.0,73.4,0.0,27.52,76.64,1.43
8.0,73.5,0.0,27.33,80.46,5.69
8.0,73.6,0.0,27.33,80.46,5.69
8.0,73.7,0.0,27.33,80.46,5.69
8.0,73.8,0.0,27.33,80.46,5.69
8.0,73.9,0.0,27.33,80.46,5.69
8.0,74.0,0.0,27.33,80.46,5.69
8.0,74.1,0.0,27.36,80.54,5.79
8.0,74.2,0.0,27.36,80.54,5.79
8.0,74.3,0.0,27.36,80.54,5.79
8.0,74.4,0.0,27.36,80.54,5.79
8.0,74.5,0.0,27.36,80.54,5.79
8.0,74.6,0.0,27.36,80.54,5.79
8.0,74.7,0.0,27.75,78.6,3.98
8.0,74.8,0.0,27.75,78.6,3.98
8.0,74.9,0.0,27.75,78.6,3.98
8.0,75.0,0.0,27.75,78.6,3.98
8.0,75.1,0.0,27.75,78.6,3.98
8.0,75.2,0.0,27.75,78.6,3.98
8.0,75.3,0.0,27.75,78.6,3.98
8.0,75.4,0.0,28.61,73.11,1.92
8.0,75.5,0.0,28.61,73.11,1.92
8.0,75.6,0.0,28.61,73.11,1.92
8.0,75.7,0.0,28.61,73.11,1.92
8.0,75.8,0.0,28.61,73.11,1.92
