wv0033,silt,Error,wv1500,cec,ocs,Longitude,Latitude,phh2o,sand,wv0010,nitrogen,ocd,cfvo,clay,bdod,soc
,,No data available,,,,68,8.1,,,,,,,,,
,,No data available,,,,68.1,8.1,,,,,,,,,
,,No data available,,,,68.2,8.1,,,,,,,,,
,,No data available,,,,68.3,8.1,,,,,,,,,
,,No data available,,,,68.4,8.1,,,,,,,,,
,,No data available,,,,68.5,8.1,,,,,,,,,
,,No data available,,,,68.6,8.1,,,,,,,,,
,,No data available,,,,68.7,8.1,,,,,,,,,
,,No data available,,,,68.8,8.1,,,,,,,,,
,,No data available,,,,68.9,8.1,,,,,,,,,
,,No data available,,,,69.0,8.1,,,,,,,,,
,,No data available,,,,69.1,8.1,,,,,,,,,
,,No data available,,,,69.2,8.1,,,,,,,,,
,,No data available,,,,69.3,8.1,,,,,,,,,
,,No data available,,,,69.4,8.1,,,,,,,,,
,,No data available,,,,69.5,8.1,,,,,,,,,
,,No data available,,,,69.6,8.1,,,,,,,,,
,,No data available,,,,69.7,8.1,,,,,,,,,
,,No data available,,,,69.8,8.1,,,,,,,,,
,,No data available,,,,69.9,8.1,,,,,,,,,
,,No data available,,,,70.0,8.1,,,,,,,,,
,,No data available,,,,70.1,8.1,,,,,,,,,
,,No data available,,,,70.2,8.1,,,,,,,,,
,,No data available,,,,70.3,8.1,,,,,,,,,
,,No data available,,,,70.4,8.1,,,,,,,,,
,,No data available,,,,70.5,8.1,,,,,,,,,
,,No data available,,,,70.6,8.1,,,,,,,,,
,,No data available,,,,70.7,8.1,,,,,,,,,
,,No data available,,,,70.8,8.1,,,,,,,,,
,,No data available,,,,70.9,8.1,,,,,,,,,
,,No data available,,,,71.0,8.1,,,,,,,,,
,,No data available,,,,71.1,8.1,,,,,,,,,
,,No data available,,,,71.2,8.1,,,,,,,,,
,,No data available,,,,71.3,8.1,,,,,,,,,
,,No data available,,,,71.4,8.1,,,,,,,,,
,,No data available,,,,71.5,8.1,,,,,,,,,
,,No data available,,,,71.6,8.1,,,,,,,,,
,,No data available,,,,71.7,8.1,,,,,,,,,
,,No data available,,,,71.8,8.1,,,,,,,,,
,,,,,,71.9,8.1,,,,,,,,,
,,No data available,,,,72.0,8.1,,,,,,,,,
,,No data available,,,,72.1,8.1,,,,,,,,,
,,No data available,,,,72.2,8.1,,,,,,,,,
,,No data available,,,,72.3,8.1,,,,,,,,,
,,No data available,,,,72.4,8.1,,,,,,,,,
,,No data available,,,,72.5,8.1,,,,,,,,,
,,No data available,,,,72.6,8.1,,,,,,,,,
,,No data available,,,,72.7,8.1,,,,,,,,,
,,No data available,,,,72.8,8.1,,,,,,,,,
,,No data available,,,,72.9,8.1,,,,,,,,,
,,No data available,,,,73.0,8.1,,,,,,,,,
,,No data available,,,,73.1,8.1,,,,,,,,,
,,No data available,,,,73.2,8.1,,,,,,,,,
,,No data available,,,,73.3,8.1,,,,,,,,,
,,No data available,,,,73.4,8.1,,,,,,,,,
,,No data available,,,,73.5,8.1,,,,,,,,,
,,No data available,,,,73.6,8.1,,,,,,,,,
,,No data available,,,,73.7,8.1,,,,,,,,,
,,No data available,,,,73.8,8.1,,,,,,,,,
,,No data available,,,,73.9,8.1,,,,,,,,,
,,No data available,,,,74.0,8.1,,,,,,,,,
,,No data available,,,,74.1,8.1,,,,,,,,,
,,No data available,,,,74.2,8.1,,,,,,,,,
,,No data available,,,,74.3,8.1,,,,,,,,,
,,No data available,,,,74.4,8.1,,,,,,,,,
,,No data available,,,,74.5,8.1,,,,,,,,,
,,No data available,,,,74.6,8.1,,,,,,,,,
,,No data available,,,,74.7,8.1,,,,,,,,,
,,No data available,,,,74.8,8.1,,,,,,,,,
,,No data available,,,,74.9,8.1,,,,,,,,,
,,No data available,,,,75.0,8.1,,,,,,,,,
,,No data available,,,,75.1,8.1,,,,,,,,,
,,No data available,,,,75.2,8.1,,,,,,,,,
,,No data available,,,,75.3,8.1,,,,,,,,,
,,No data available,,,,75.4,8.1,,,,,,,,,
,,No data available,,,,75.5,8.1,,,,,,,,,
,,No data available,,,,75.6,8.1,,,,,,,,,
,,No data available,,,,75.7,8.1,,,,,,,,,
,,No data available,,,,75.8,8.1,,,,,,,,,
