Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall
6.0,68.0,0.0,28.48,80.46,8.84
6.0,68.1,0.0,28.48,80.46,8.84
6.0,68.2,0.0,28.48,80.46,8.84
6.0,68.3,0.0,28.48,80.46,8.84
6.0,68.4,0.0,28.48,80.46,8.84
6.0,68.5,0.0,28.47,79.75,8.74
6.0,68.6,0.0,28.47,79.75,8.74
6.0,68.7,0.0,28.47,79.75,8.74
6.0,68.8,0.0,28.47,79.75,8.74
6.0,68.9,0.0,28.47,79.75,8.74
6.0,69.0,0.0,28.47,79.75,8.74
6.1,68.0,0.0,28.48,80.46,8.84
6.1,68.1,0.0,28.48,80.46,8.84
6.1,68.2,0.0,28.48,80.46,8.84
6.1,68.3,0.0,28.48,80.46,8.84
6.1,68.4,0.0,28.48,80.46,8.84
6.1,68.5,0.0,28.47,79.75,8.74
6.1,68.6,0.0,28.47,79.75,8.74
6.1,68.7,0.0,28.47,79.75,8.74
6.1,68.8,0.0,28.47,79.75,8.74
6.1,68.9,0.0,28.47,79.75,8.74
6.1,69.0,0.0,28.47,79.75,8.74
6.2,68.0,0.0,28.48,80.46,8.84
6.2,68.1,0.0,28.48,80.46,8.84
6.2,68.2,0.0,28.48,80.46,8.84
6.2,68.3,0.0,28.48,80.46,8.84
6.2,68.4,0.0,28.48,80.46,8.84
6.2,68.5,0.0,28.47,79.75,8.74
6.2,68.6,0.0,28.47,79.75,8.74
6.2,68.7,0.0,28.47,79.75,8.74
6.2,68.8,0.0,28.47,79.75,8.74
6.2,68.9,0.0,28.47,79.75,8.74
6.2,69.0,0.0,28.47,79.75,8.74
6.3,68.0,0.0,28.43,81.18,7.49
6.3,68.1,0.0,28.43,81.18,7.49
6.3,68.2,0.0,28.43,81.18,7.49
6.3,68.3,0.0,28.43,81.18,7.49
6.3,68.4,0.0,28.43,81.18,7.49
6.3,68.5,0.0,28.49,80.25,7.09
6.3,68.6,0.0,28.49,80.25,7.09
6.3,68.7,0.0,28.49,80.25,7.09
6.3,68.8,0.0,28.49,80.25,7.09
6.3,68.9,0.0,28.49,80.25,7.09
6.3,69.0,0.0,28.49,80.25,7.09
6.4,68.0,0.0,28.43,81.18,7.49
6.4,68.1,0.0,28.43,81.18,7.49
6.4,68.2,0.0,28.43,81.18,7.49
6.4,68.3,0.0,28.43,81.18,7.49
6.4,68.4,0.0,28.43,81.18,7.49
6.4,68.5,0.0,28.49,80.25,7.09
6.4,68.6,0.0,28.49,80.25,7.09
6.4,68.7,0.0,28.49,80.25,7.09
6.4,68.8,0.0,28.49,80.25,7.09
6.4,68.9,0.0,28.49,80.25,7.09
