sand,wv1500,nitrogen,ocd,cfvo,cec,Latitude,Error,Longitude,clay,wv0033,silt,phh2o,ocs,wv0010,bdod,soc
,,,,,,13.1,No data available,68,,,,,,,,
,,,,,,13.1,No data available,68.1,,,,,,,,
,,,,,,13.1,No data available,68.2,,,,,,,,
,,,,,,13.1,No data available,68.3,,,,,,,,
,,,,,,13.1,No data available,68.4,,,,,,,,
,,,,,,13.1,No data available,68.5,,,,,,,,
,,,,,,13.1,No data available,68.6,,,,,,,,
,,,,,,13.1,No data available,68.7,,,,,,,,
,,,,,,13.1,No data available,68.8,,,,,,,,
,,,,,,13.1,No data available,68.9,,,,,,,,
,,,,,,13.1,No data available,69.0,,,,,,,,
,,,,,,13.1,No data available,69.1,,,,,,,,
,,,,,,13.1,No data available,69.2,,,,,,,,
,,,,,,13.1,No data available,69.3,,,,,,,,
,,,,,,13.1,No data available,69.4,,,,,,,,
,,,,,,13.1,No data available,69.5,,,,,,,,
,,,,,,13.1,No data available,69.6,,,,,,,,
,,,,,,13.1,No data available,69.7,,,,,,,,
,,,,,,13.1,No data available,69.8,,,,,,,,
,,,,,,13.1,No data available,69.9,,,,,,,,
,,,,,,13.1,No data available,70.0,,,,,,,,
,,,,,,13.1,No data available,70.1,,,,,,,,
,,,,,,13.1,No data available,70.2,,,,,,,,
,,,,,,13.1,No data available,70.3,,,,,,,,
,,,,,,13.1,No data available,70.4,,,,,,,,
,,,,,,13.1,No data available,70.5,,,,,,,,
,,,,,,13.1,No data available,70.6,,,,,,,,
,,,,,,13.1,No data available,70.7,,,,,,,,
,,,,,,13.1,No data available,70.8,,,,,,,,
,,,,,,13.1,No data available,70.9,,,,,,,,
,,,,,,13.1,No data available,71.0,,,,,,,,
,,,,,,13.1,No data available,71.1,,,,,,,,
,,,,,,13.1,No data available,71.2,,,,,,,,
,,,,,,13.1,No data available,71.3,,,,,,,,
,,,,,,13.1,No data available,71.4,,,,,,,,
,,,,,,13.1,No data available,71.5,,,,,,,,
,,,,,,13.1,No data available,71.6,,,,,,,,
,,,,,,13.1,No data available,71.7,,,,,,,,
,,,,,,13.1,No data available,71.8,,,,,,,,
,,,,,,13.1,No data available,71.9,,,,,,,,
,,,,,,13.1,No data available,72.0,,,,,,,,
,,,,,,13.1,No data available,72.1,,,,,,,,
,,,,,,13.1,No data available,72.2,,,,,,,,
,,,,,,13.1,No data available,72.3,,,,,,,,
,,,,,,13.1,No data available,72.4,,,,,,,,
,,,,,,13.1,No data available,72.5,,,,,,,,
,,,,,,13.1,No data available,72.6,,,,,,,,
,,,,,,13.1,No data available,72.7,,,,,,,,
,,,,,,13.1,No data available,72.8,,,,,,,,
,,,,,,13.1,No data available,72.9,,,,,,,,
,,,,,,13.1,No data available,73.0,,,,,,,,
,,,,,,13.1,No data available,73.1,,,,,,,,
,,,,,,13.1,No data available,73.2,,,,,,,,
,,,,,,13.1,No data available,73.3,,,,,,,,
,,,,,,13.1,No data available,73.4,,,,,,,,
,,,,,,13.1,,73.5,,,,,,,,
,,,,,,13.1,,73.6,,,,,,,,
,,,,,,13.1,,73.7,,,,,,,,
,,,,,,13.1,,73.8,,,,,,,,
,,,,,,13.1,,73.9,,,,,,,,
,,,,,,13.1,,74.0,,,,,,,,
,,,,,,13.1,,74.1,,,,,,,,
,,,,,,13.1,,74.2,,,,,,,,
,,,,,,13.1,,74.3,,,,,,,,
,,,,,,13.1,,74.4,,,,,,,,
,,,,,,13.1,,74.5,,,,,,,,
,,,,,,13.1,,74.6,,,,,,,,
,,,,,,13.1,,74.7,,,,,,,,
390,178,303,331,58,217,13.1,,74.8,334,342,276,58,55,386,121,333
450,174,280,331,118,203,13.1,,74.9,342,346,209,57,56,388,124,423
479,176,308,317,141,187,13.1,,75.0,353,352,167,57,60,382,123,386
457,167,334,312,111,199,13.1,,75.1,367,345,177,56,61,401,122,417
475,187,632,411,220,168,13.1,,75.2,329,332,196,56,84,401,108,453
436,182,521,456,177,235,13.1,,75.3,368,353,195,55,85,415,106,548
476,182,553,429,188,233,13.1,,75.4,331,338,193,55,81,412,107,494
449,186,452,418,177,243,13.1,,75.5,310,335,241,56,76,399,107,481
397,168,242,346,147,258,13.1,,75.6,305,333,298,55,63,406,125,273
420,166,267,314,164,293,13.1,,75.7,294,330,286,58,57,397,125,232
395,161,213,345,150,272,13.1,,75.8,302,328,303,58,57,402,126,251
422,163,190,282,151,267,13.1,,75.9,314,339,265,61,47,396,128,214
418,156,180,261,116,281,13.1,,76.0,306,321,275,66,44,361,130,200
441,147,178,249,124,254,13.1,,76.1,295,282,264,71,42,366,135,228
441,141,156,255,113,243,13.1,,76.2,274,294,285,72,38,379,138,189
438,151,173,265,111,278,13.1,,76.3,264,306,298,70,39,382,137,191
461,133,171,254,131,214,13.1,,76.4,303,312,237,68,40,364,137,206
,,,,,,13.1,No data available,76.5,,,,,,,,
,,,,,,13.1,No data available,76.6,,,,,,,,
500,118,153,243,147,205,13.1,,76.7,267,323,233,66,37,348,140,212
445,121,160,242,128,213,13.1,,76.8,339,318,216,68,34,376,140,181
491,115,156,221,127,194,13.1,,76.9,306,320,202,68,31,355,141,170
473,116,144,239,104,194,13.1,,77.0,303,316,223,66,34,394,140,162
603,108,169,244,110,139,13.1,,77.1,201,309,195,66,32,397,139,199
662,89,129,234,103,106,13.1,,77.2,196,286,143,63,37,367,137,162
673,83,134,233,119,75,13.1,,77.3,180,313,147,64,38,377,136,157
,,,,,,13.1,No data available,77.4,,,,,,,,
,,,,,,13.1,No data available,77.5,,,,,,,,
,,,,,,13.1,No data available,77.6,,,,,,,,
,,,,,,13.1,No data available,77.7,,,,,,,,
,,,,,,13.1,No data available,77.8,,,,,,,,
