Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall,clay,cec,ocs,sand,silt,ocd,nitrogen,wv1500,cfvo,wv0033,wv0010,soc,bdod,phh2o,Phosphorus,Potassium
8.2,93.5,20,28.44,81.54,2.5,267,193,65,444,289,424,492,148,92,330,361,558.0,81.0,54,6740.437500000001,607.4
8.3,77.1,27,25.78,81.53,0.15,327,245,57,367,306,356,461,191,110,284,370,528.0,135.0,61,6386.152249999999,773.23
8.3,77.2,37,23.03,89.67,0.0,296,186,50,401,303,311,426,186,65,278,379,408.0,134.0,56,4938.25,675.3300000000002
8.3,77.3,99,23.03,89.67,0.0,350,210,54,364,286,339,426,195,135,278,355,514.0,135.0,57,6210.55,787.81
8.3,77.4,105,23.03,89.67,0.0,354,214,58,352,294,366,482,178,133,270,378,526.0,126.0,58,6359.599999999999,810.1500000000001
8.3,77.5,282,23.03,89.67,0.0,361,205,63,357,282,406,462,179,117,290,375,510.0,120.0,57,6165.8,812.88
8.3,77.6,80,23.03,89.67,0.0,347,272,43,368,285,328,250,167,53,269,366,268.0,141.0,64,3268.2999999999997,823.0
8.3,77.7,49,23.03,89.67,0.0,331,247,38,399,269,274,244,160,77,281,351,432.0,141.0,70,5211.2,764.2099999999999
8.3,77.8,20,23.03,89.67,0.0,320,283,43,371,309,297,256,176,63,294,348,639.0,145.0,68,7711.25,773.5
8.3,77.9,23,25.88,86.21,0.12,283,239,36,379,338,274,224,168,124,304,348,422.0,138.0,69,5089.7518,678.07
8.3,79.9,13,26.08,86.28,14.32,267,211,70,456,278,384,525,196,99,314,334,766.0,122.0,59,9225.6648,603.8700000000001
8.3,80.0,52,26.08,86.28,14.32,257,160,55,562,181,336,485,192,87,301,347,568.0,125.0,57,6839.2648,528.28
8.3,80.1,94,26.08,86.28,14.32,300,180,57,498,202,351,408,194,105,311,344,481.0,129.0,58,5799.4148,635.26
8.3,80.2,98,26.08,86.28,14.32,271,207,54,506,223,354,321,181,86,319,324,407.0,136.0,60,4911.6648,588.82
8.3,80.3,87,26.08,86.28,14.32,253,166,53,532,214,358,373,189,89,301,354,393.0,135.0,61,4734.7148,536.13
8.3,80.4,94,25.19,90.88,20.32,280,186,59,496,224,368,369,176,107,317,347,364.0,138.0,60,4394.1548,604.6600000000001
8.3,80.5,113,25.19,90.88,20.32,300,181,52,482,218,324,352,173,95,306,361,371.0,133.0,59,4482.004800000001,647.27
8.3,80.6,119,25.19,90.88,20.32,279,172,54,458,263,356,514,181,124,311,348,428.0,129.0,58,5161.7047999999995,606.01
8.3,80.7,120,25.19,90.88,20.32,280,209,55,423,297,355,475,200,149,310,378,403.0,128.0,59,4880.0548,652.5
8.3,80.8,129,25.19,90.88,20.32,294,217,57,402,304,391,517,209,165,311,378,515.0,130.0,59,6226.8548,688.7100000000002
8.3,80.9,217,25.19,90.88,20.32,326,202,65,344,330,372,628,198,188,308,387,821.0,111.0,57,9900.0548,757.43
8.3,81.0,48,26.88,83.72,17.2,336,199,53,334,330,372,508,200,114,306,386,653.0,130.0,59,7878.508,777.92
8.3,81.1,30,26.88,83.72,17.2,356,260,58,339,305,361,466,204,89,303,391,555.0,130.0,62,6718.808,851.2
8.3,81.2,21,26.88,83.72,17.2,283,274,64,363,354,398,693,205,93,316,371,950.0,115.0,58,11467.108,713.09
8.3,81.3,18,26.88,83.72,17.2,308,250,58,365,326,395,615,185,104,312,360,569.0,126.0,62,6875.558,738.72
8.3,93.1,20,28.41,80.53,2.08,282,160,54,487,231,402,495,151,54,320,364,568.0,120.0,52,6853.8312000000005,602.9
8.4,77.0,20,25.78,81.53,0.15,332,230,58,388,280,366,440,202,141,318,395,475.0,135.0,57,5759.55225,777.0
8.4,77.1,28,25.78,81.53,0.15,316,268,61,350,334,384,488,184,91,319,375,478.0,136.0,56,5805.952249999999,774.32
8.4,77.2,66,23.03,89.67,0.0,336,192,55,387,277,348,384,195,104,284,375,424.0,130.0,55,5133.45,753.24
8.4,77.3,80,23.03,89.67,0.0,355,221,51,350,295,364,439,193,146,287,360,409.0,124.0,57,4955.650000000001,809.8000000000001
8.4,77.4,129,23.03,89.67,0.0,356,223,63,345,299,394,466,182,153,293,369,487.0,132.0,60,5888.3,817.4100000000001
8.4,77.5,603,23.03,89.67,0.0,315,186,80,343,342,474,483,206,122,297,386,683.0,112.0,56,8240.0,724.07
8.4,77.6,115,23.03,89.67,0.0,340,248,49,378,282,303,272,178,106,290,342,492.0,137.0,66,5937.7,783.0500000000001
8.4,77.7,59,23.03,89.67,0.0,366,266,41,379,256,283,234,163,107,291,343,454.0,144.0,69,5481.950000000001,841.3100000000001
8.4,77.8,39,23.03,89.67,0.0,334,280,41,383,284,294,265,174,65,283,338,513.0,146.0,71,6189.4,789.1100000000001
8.4,77.9,57,25.88,86.21,0.12,293,265,42,402,306,292,231,166,114,289,342,633.0,135.0,70,7627.2518,702.0299999999999
8.4,78.0,14,25.88,86.21,0.12,324,244,48,348,328,286,204,168,92,302,356,377.0,146.0,69,4553.5018,767.46
8.4,79.9,35,26.08,86.28,14.32,289,209,64,416,295,342,474,188,111,308,334,573.0,126.0,60,6906.864799999999,654.0500000000001
8.4,80.0,74,26.08,86.28,14.32,302,180,52,466,232,370,442,190,115,316,340,513.0,125.0,58,6182.4148,647.0600000000001
8.4,80.1,80,26.08,86.28,14.32,261,178,59,497,241,361,457,193,97,309,343,523.0,126.0,58,6302.4648,563.9000000000001
8.4,80.2,83,26.08,86.28,14.32,262,217,55,504,234,337,307,171,77,307,348,353.0,135.0,60,4273.1648,588.9699999999999
8.4,80.3,87,26.08,86.28,14.32,289,195,52,478,233,356,351,167,96,305,355,417.0,135.0,58,5039.4148,634.9300000000001
8.4,80.4,79,25.19,90.88,20.32,245,244,64,477,279,358,360,183,97,291,348,446.0,134.0,59,5400.8048,582.71
8.4,80.5,104,25.19,90.88,20.32,294,165,60,480,226,347,399,185,88,312,344,484.0,130.0,59,5828.1548,620.7600000000001
8.4,80.6,105,25.19,90.88,20.32,297,184,50,443,259,361,460,177,119,318,353,444.0,130.0,57,5361.2548,652.2500000000001
8.4,81.3,9,26.88,83.72,17.2,277,268,52,351,372,421,642,184,93,327,376,669.0,123.0,63,8083.758,704.41
8.5,77.1,67,25.78,81.53,0.15,328,214,62,385,287,386,421,214,159,290,373,489.0,127.0,55,5920.652249999999,751.83
