clay,wv1500,soc,wv0010,sand,ocd,cfvo,cec,bdod,nitrogen,silt,ocs,wv0033,Longitude,phh2o,Latitude
225,108,200,306,545,206,73,110,133,151,230,28,223,9,60,8
147,78,218,301,667,207,123,97,135,171,186,28,235,9.1,60,8
220,102,260,307,523,212,103,130,131,175,257,33,239,9.2,58,8
183,101,165,304,556,207,88,109,136,144,262,29,235,9.3,57,8
175,80,173,306,539,211,151,91,138,143,286,28,241,9.4,57,8
215,104,163,297,514,223,84,107,134,151,271,31,228,9.5,58,8
196,115,197,307,594,214,101,111,133,154,211,29,243,9,61,8.1
187,88,196,297,626,227,120,141,130,165,187,27,226,9.1,59,8.1
171,86,141,318,586,207,62,113,132,149,243,28,230,9.2,59,8.1
204,85,124,305,577,199,61,102,132,121,219,28,222,9.3,58,8.1
257,121,275,306,433,215,101,131,132,146,309,36,231,9.4,59,8.1
223,112,143,319,408,218,111,106,133,159,369,31,243,9.5,58,8.1
203,78,148,303,589,187,62,101,134,131,208,26,227,9,59,8.2
248,101,138,308,539,195,46,110,132,143,214,26,224,9.1,59,8.2
258,120,154,303,488,199,72,118,133,145,254,27,222,9.2,60,8.2
204,92,177,306,491,206,76,106,132,181,306,29,232,9.3,59,8.2
212,97,146,310,448,223,101,126,134,164,341,31,251,9.4,58,8.2
215,87,154,313,477,218,89,110,133,157,307,31,210,9.5,60,8.2
217,95,157,314,548,233,89,106,135,155,234,26,224,9,57,8.3
248,94,130,315,541,219,60,122,134,115,211,27,201,9.1,58,8.3
237,94,144,310,561,209,98,87,132,124,203,27,235,9.2,60,8.3
214,96,203,300,521,215,98,97,134,145,265,27,264,9.3,60,8.3
207,104,188,302,499,209,81,122,131,166,294,31,207,9.4,60,8.3
186,85,177,300,507,205,75,105,131,147,307,29,214,9.5,59,8.3
156,90,208,297,590,218,118,109,135,202,254,30,200,9,57,8.4
229,110,194,297,551,225,102,117,132,145,220,27,270,9.1,58,8.4
193,92,195,305,552,222,97,89,133,136,255,28,207,9.2,59,8.4
172,86,160,312,591,197,85,93,134,118,238,28,226,9.3,60,8.4
166,81,204,317,578,204,103,103,132,152,256,28,213,9.4,60,8.4
151,74,162,300,582,195,83,103,133,119,266,29,213,9.5,59,8.4
153,81,139,309,684,207,77,57,135,116,164,26,250,9,56,8.5
168,91,163,319,649,214,109,82,133,147,183,29,220,9.1,57,8.5
183,95,157,302,621,220,93,94,132,164,196,29,230,9.2,59,8.5
154,72,161,302,624,205,98,78,133,116,222,30,201,9.3,59,8.5
146,73,144,310,599,192,108,83,134,145,255,29,224,9.4,59,8.5
191,89,227,306,553,213,101,105,135,143,256,27,224,9.5,59,8.5
