ocs,wv0010,cec,Error,Latitude,cfvo,silt,Longitude,soc,wv1500,bdod,wv0033,clay,phh2o,sand,nitrogen,ocd
,,,No data available,13.1,,,77.8,,,,,,,,,
,,,No data available,13.1,,,77.9,,,,,,,,,
,,,No data available,13.1,,,78.0,,,,,,,,,
,,,No data available,13.1,,,78.1,,,,,,,,,
,,,No data available,13.1,,,78.2,,,,,,,,,
,,,No data available,13.1,,,78.3,,,,,,,,,
29,347,219,,13.1,144,207,78.4,210,127,145,296,299,70,494,114,202
34,349,262,,13.1,133,240,78.5,205,149,149,297,334,69,426,138,226
33,341,263,,13.1,179,279,78.6,203,147,145,290,318,68,403,150,229
,,,No data available,13.1,,,78.7,,,,,,,,,
40,345,283,,13.1,162,288,78.8,268,171,137,300,288,66,424,184,262
,,,No data available,13.1,,,78.9,,,,,,,,,
44,383,270,,13.1,135,273,79.0,291,169,139,315,351,69,376,213,271
42,372,279,,13.1,121,278,79.1,250,166,143,290,332,68,390,206,240
39,377,278,,13.1,122,314,79.2,240,181,145,303,302,70,384,199,258
,,,No data available,13.1,,,79.3,,,,,,,,,
,,,No data available,13.1,,,79.4,,,,,,,,,
,,,No data available,13.1,,,79.5,,,,,,,,,
,,,No data available,13.1,,,79.6,,,,,,,,,
38,376,259,,13.1,51,291,79.7,290,175,138,261,343,70,366,192,262
42,377,267,,13.1,69,303,79.8,307,189,140,279,330,69,367,205,261
44,379,231,,13.1,58,283,79.9,349,179,136,318,330,70,387,228,282
43,383,238,,13.1,54,296,80.0,356,182,133,322,322,67,382,242,275
,,,,13.1,,,80.1,,,,,,,,,
,,,,13.1,,,80.2,,,,,,,,,
,,,,13.1,,,80.3,,,,,,,,,
,,,,13.1,,,80.4,,,,,,,,,
,,,,13.1,,,80.5,,,,,,,,,
,,,,13.1,,,80.6,,,,,,,,,
,,,,13.1,,,80.7,,,,,,,,,
,,,,13.1,,,80.8,,,,,,,,,
,,,,13.1,,,80.9,,,,,,,,,
,,,,13.1,,,81.0,,,,,,,,,
,,,,13.1,,,81.1,,,,,,,,,
,,,,13.1,,,81.2,,,,,,,,,
,,,,13.1,,,81.3,,,,,,,,,
,,,,13.1,,,81.4,,,,,,,,,
,,,,13.1,,,81.5,,,,,,,,,
,,,,13.1,,,81.6,,,,,,,,,
,,,,13.1,,,81.7,,,,,,,,,
,,,,13.1,,,81.8,,,,,,,,,
,,,,13.1,,,81.9,,,,,,,,,
,,,,13.1,,,82.0,,,,,,,,,
,,,,13.1,,,82.1,,,,,,,,,
,,,,13.1,,,82.2,,,,,,,,,
,,,,13.1,,,82.3,,,,,,,,,
,,,,13.1,,,82.4,,,,,,,,,
,,,,13.1,,,82.5,,,,,,,,,
,,,,13.1,,,82.6,,,,,,,,,
,,,,13.1,,,82.7,,,,,,,,,
,,,,13.1,,,82.8,,,,,,,,,
,,,,13.1,,,82.9,,,,,,,,,
,,,,13.1,,,83.0,,,,,,,,,
,,,,13.1,,,83.1,,,,,,,,,
,,,,13.1,,,83.2,,,,,,,,,
,,,,13.1,,,83.3,,,,,,,,,
,,,,13.1,,,83.4,,,,,,,,,
,,,,13.1,,,83.5,,,,,,,,,
,,,,13.1,,,83.6,,,,,,,,,
,,,,13.1,,,83.7,,,,,,,,,
,,,,13.1,,,83.8,,,,,,,,,
,,,,13.1,,,83.9,,,,,,,,,
,,,,13.1,,,84.0,,,,,,,,,
,,,No data available,13.1,,,84.1,,,,,,,,,
,,,No data available,13.1,,,84.2,,,,,,,,,
,,,No data available,13.1,,,84.3,,,,,,,,,
,,,No data available,13.1,,,84.4,,,,,,,,,
,,,No data available,13.1,,,84.5,,,,,,,,,
,,,No data available,13.1,,,84.6,,,,,,,,,
,,,No data available,13.1,,,84.7,,,,,,,,,
,,,,13.1,,,84.8,,,,,,,,,
,,,No data available,13.1,,,84.9,,,,,,,,,
,,,,13.1,,,85.0,,,,,,,,,
,,,,13.1,,,85.1,,,,,,,,,
,,,,13.1,,,85.2,,,,,,,,,
,,,No data available,13.1,,,85.3,,,,,,,,,
,,,No data available,13.1,,,85.4,,,,,,,,,
,,,No data available,13.1,,,85.5,,,,,,,,,
,,,No data available,13.1,,,85.6,,,,,,,,,
,,,No data available,13.1,,,85.7,,,,,,,,,
,,,No data available,13.1,,,85.8,,,,,,,,,
,,,No data available,13.1,,,85.9,,,,,,,,,
,,,No data available,13.1,,,86.0,,,,,,,,,
,,,No data available,13.1,,,86.1,,,,,,,,,
,,,No data available,13.1,,,86.2,,,,,,,,,
,,,No data available,13.1,,,86.3,,,,,,,,,
,,,No data available,13.1,,,86.4,,,,,,,,,
,,,No data available,13.1,,,86.5,,,,,,,,,
,,,No data available,13.1,,,86.6,,,,,,,,,
,,,No data available,13.1,,,86.7,,,,,,,,,
,,,No data available,13.1,,,86.8,,,,,,,,,
,,,No data available,13.1,,,86.9,,,,,,,,,
,,,No data available,13.1,,,87.0,,,,,,,,,
,,,No data available,13.1,,,87.1,,,,,,,,,
,,,No data available,13.1,,,87.2,,,,,,,,,
,,,No data available,13.1,,,87.3,,,,,,,,,
,,,No data available,13.1,,,87.4,,,,,,,,,
,,,No data available,13.1,,,87.5,,,,,,,,,
,,,No data available,13.1,,,87.6,,,,,,,,,
,,,No data available,13.1,,,87.7,,,,,,,,,
,,,No data available,13.1,,,87.8,,,,,,,,,
,,,No data available,13.1,,,87.9,,,,,,,,,
,,,No data available,13.1,,,88.0,,,,,,,,,
,,,No data available,13.1,,,88.1,,,,,,,,,
,,,No data available,13.1,,,88.2,,,,,,,,,
,,,No data available,13.1,,,88.3,,,,,,,,,
,,,No data available,13.1,,,88.4,,,,,,,,,
,,,No data available,13.1,,,88.5,,,,,,,,,
,,,No data available,13.1,,,88.6,,,,,,,,,
,,,No data available,13.1,,,88.7,,,,,,,,,
,,,No data available,13.1,,,88.8,,,,,,,,,
,,,No data available,13.1,,,88.9,,,,,,,,,
,,,No data available,13.1,,,89.0,,,,,,,,,
,,,No data available,13.1,,,89.1,,,,,,,,,
,,,No data available,13.1,,,89.2,,,,,,,,,
,,,No data available,13.1,,,89.3,,,,,,,,,
,,,No data available,13.1,,,89.4,,,,,,,,,
,,,,13.1,,,89.5,,,,,,,,,
,,,,13.1,,,89.6,,,,,,,,,
,,,No data available,13.1,,,89.7,,,,,,,,,
,,,No data available,13.1,,,89.8,,,,,,,,,
,,,No data available,13.1,,,89.9,,,,,,,,,
,,,No data available,13.1,,,90.0,,,,,,,,,
,,,No data available,13.1,,,90.1,,,,,,,,,
,,,,13.1,,,90.2,,,,,,,,,
,,,No data available,13.1,,,90.3,,,,,,,,,
,,,No data available,13.1,,,90.4,,,,,,,,,
,,,No data available,13.1,,,90.5,,,,,,,,,
,,,No data available,13.1,,,90.6,,,,,,,,,
,,,No data available,13.1,,,90.7,,,,,,,,,
,,,No data available,13.1,,,90.8,,,,,,,,,
,,,,13.1,,,90.9,,,,,,,,,
,,,,13.1,,,91.0,,,,,,,,,
,,,,13.1,,,91.1,,,,,,,,,
,,,No data available,13.1,,,91.2,,,,,,,,,
,,,No data available,13.1,,,91.3,,,,,,,,,
,,,No data available,13.1,,,91.4,,,,,,,,,
,,,No data available,13.1,,,91.5,,,,,,,,,
,,,,13.1,,,91.6,,,,,,,,,
,,,,13.1,,,91.7,,,,,,,,,
,,,,13.1,,,91.8,,,,,,,,,
,,,No data available,13.1,,,91.9,,,,,,,,,
,,,No data available,13.1,,,92.0,,,,,,,,,
,,,No data available,13.1,,,92.1,,,,,,,,,
,,,No data available,13.1,,,92.2,,,,,,,,,
,,,,13.1,,,92.3,,,,,,,,,
,,,,13.1,,,92.4,,,,,,,,,
,,,No data available,13.1,,,92.5,,,,,,,,,
,,,No data available,13.1,,,92.6,,,,,,,,,
,,,No data available,13.1,,,92.7,,,,,,,,,
,,,No data available,13.1,,,92.8,,,,,,,,,
54,357,248,,13.1,200,307,92.9,463,193,99,336,301,57,392,328,394
,,,,13.1,,,93.0,,,,,,,,,
,,,,13.1,,,93.1,,,,,,,,,
,,,,13.1,,,93.2,,,,,,,,,
,,,,13.1,,,93.3,,,,,,,,,
,,,,13.1,,,93.4,,,,,,,,,
,,,No data available,13.1,,,93.5,,,,,,,,,
,,,No data available,13.1,,,93.6,,,,,,,,,
,,,No data available,13.1,,,93.7,,,,,,,,,
,,,,13.1,,,93.8,,,,,,,,,
,,,,13.1,,,93.9,,,,,,,,,
,,,No data available,13.1,,,94.0,,,,,,,,,
,,,No data available,13.1,,,94.1,,,,,,,,,
,,,No data available,13.1,,,94.2,,,,,,,,,
,,,No data available,13.1,,,94.3,,,,,,,,,
,,,No data available,13.1,,,94.4,,,,,,,,,
,,,No data available,13.1,,,94.5,,,,,,,,,
,,,No data available,13.1,,,94.6,,,,,,,,,
,,,No data available,13.1,,,94.7,,,,,,,,,
,,,No data available,13.1,,,94.8,,,,,,,,,
,,,No data available,13.1,,,94.9,,,,,,,,,
,,,No data available,13.1,,,95.0,,,,,,,,,
,,,No data available,13.1,,,95.1,,,,,,,,,
,,,No data available,13.1,,,95.2,,,,,,,,,
,,,No data available,13.1,,,95.3,,,,,,,,,
,,,No data available,13.1,,,95.4,,,,,,,,,
,,,No data available,13.1,,,95.5,,,,,,,,,
,,,No data available,13.1,,,95.6,,,,,,,,,
,,,No data available,13.1,,,95.7,,,,,,,,,
,,,,13.1,,,95.8,,,,,,,,,
,,,No data available,13.1,,,95.9,,,,,,,,,
,,,No data available,13.1,,,96.0,,,,,,,,,
,,,No data available,13.1,,,96.1,,,,,,,,,
,,,No data available,13.1,,,96.2,,,,,,,,,
,,,No data available,13.1,,,96.3,,,,,,,,,
,,,No data available,13.1,,,96.4,,,,,,,,,
,,,No data available,13.1,,,96.5,,,,,,,,,
,,,No data available,13.1,,,96.6,,,,,,,,,
,,,,13.1,,,96.7,,,,,,,,,
,,,No data available,13.1,,,96.8,,,,,,,,,
,,,No data available,13.1,,,96.9,,,,,,,,,
,,,No data available,13.1,,,97.0,,,,,,,,,
,,,No data available,13.1,,,97.1,,,,,,,,,
,,,,13.1,,,97.2,,,,,,,,,
,,,,13.1,,,97.3,,,,,,,,,
,,,,13.1,,,97.4,,,,,,,,,
,,,No data available,13.1,,,97.5,,,,,,,,,
,,,No data available,13.1,,,97.6,,,,,,,,,
,,,No data available,13.1,,,97.7,,,,,,,,,
,,,No data available,13.1,,,97.8,,,,,,,,,
,,,No data available,13.1,,,97.9,,,,,,,,,
,,,No data available,13.1,,,98.0,,,,,,,,,
,,,No data available,13.2,,,77.8,,,,,,,,,
,,,No data available,13.2,,,77.9,,,,,,,,,
,,,No data available,13.2,,,78.0,,,,,,,,,
,,,No data available,13.2,,,78.1,,,,,,,,,
,,,No data available,13.2,,,78.2,,,,,,,,,
