cfvo,wv0010,Latitude,Longitude,nitrogen,soc,sand,clay,ocs,Error,cec,phh2o,wv1500,wv0033,silt,ocd,bdod
,,20.1,68,,,,,,,,,,,,,
,,20.1,68.1,,,,,,,,,,,,,
,,20.1,68.2,,,,,,,,,,,,,
,,20.1,68.3,,,,,,,,,,,,,
,,20.1,68.4,,,,,,,,,,,,,
,,20.1,68.5,,,,,,,,,,,,,
,,20.1,68.6,,,,,,,,,,,,,
,,20.1,68.7,,,,,,,,,,,,,
,,20.1,68.8,,,,,,,,,,,,,
,,20.1,68.9,,,,,,,,,,,,,
,,20.1,69.0,,,,,,No data available,,,,,,,
,,20.1,69.1,,,,,,No data available,,,,,,,
,,20.1,69.2,,,,,,,,,,,,,
,,20.1,69.3,,,,,,,,,,,,,
,,20.1,69.4,,,,,,No data available,,,,,,,
,,20.1,69.5,,,,,,,,,,,,,
,,20.1,69.6,,,,,,No data available,,,,,,,
,,20.1,69.7,,,,,,No data available,,,,,,,
,,20.1,69.8,,,,,,No data available,,,,,,,
,,20.1,69.9,,,,,,No data available,,,,,,,
,,20.1,70.0,,,,,,No data available,,,,,,,
,,20.1,70.1,,,,,,No data available,,,,,,,
,,20.1,70.2,,,,,,No data available,,,,,,,
,,20.1,70.3,,,,,,No data available,,,,,,,
,,20.1,70.4,,,,,,No data available,,,,,,,
,,20.1,70.5,,,,,,No data available,,,,,,,
,,20.1,70.6,,,,,,,,,,,,,
,,20.1,70.7,,,,,,No data available,,,,,,,
,,20.1,70.8,,,,,,No data available,,,,,,,
,,20.1,70.9,,,,,,No data available,,,,,,,
,,20.1,71.0,,,,,,No data available,,,,,,,
,,20.1,71.1,,,,,,No data available,,,,,,,
,,20.1,71.2,,,,,,No data available,,,,,,,
,,20.1,71.3,,,,,,No data available,,,,,,,
,,20.1,71.4,,,,,,,,,,,,,
,,20.1,71.5,,,,,,No data available,,,,,,,
,,20.1,71.6,,,,,,,,,,,,,
,,20.1,71.7,,,,,,,,,,,,,
,,20.1,71.8,,,,,,,,,,,,,
,,20.1,71.9,,,,,,,,,,,,,
,,20.1,72.0,,,,,,,,,,,,,
,,20.1,72.1,,,,,,,,,,,,,
,,20.1,72.2,,,,,,,,,,,,,
,,20.1,72.3,,,,,,,,,,,,,
,,20.1,72.4,,,,,,,,,,,,,
,,20.1,72.5,,,,,,,,,,,,,
,,20.1,72.6,,,,,,,,,,,,,
,,20.1,72.7,,,,,,,,,,,,,
225,391,20.1,72.8,219,288,315,399,42,,237,68,166,352,286,303,141
118,394,20.1,72.9,229,133,304,411,43,,264,68,185,342,285,262,144
96,404,20.1,73.0,224,175,306,426,47,,272,66,170,333,268,293,143
229,403,20.1,73.1,288,234,345,372,54,,275,64,185,345,283,273,140
277,400,20.1,73.2,299,270,348,374,47,,262,63,181,342,278,268,142
293,405,20.1,73.3,289,305,347,366,52,,260,64,172,292,287,285,141
269,387,20.1,73.4,266,286,327,380,52,,293,63,174,250,293,312,144
178,410,20.1,73.5,213,183,300,412,52,,321,65,190,347,289,241,151
208,393,20.1,73.6,200,173,283,426,43,,354,65,208,370,290,253,155
178,405,20.1,73.7,185,152,240,427,46,,384,68,204,374,334,254,153
153,398,20.1,73.8,174,152,256,474,38,,433,70,196,375,269,231,158
141,384,20.1,73.9,167,160,237,455,35,,417,69,193,307,308,203,160
132,394,20.1,74.0,161,122,232,432,32,,350,71,203,307,336,197,156
108,394,20.1,74.1,167,128,226,460,34,,354,72,212,279,314,199,150
116,375,20.1,74.2,140,127,246,468,29,,385,72,201,289,287,200,153
80,380,20.1,74.3,153,114,239,444,30,,398,72,207,306,317,182,157
80,363,20.1,74.4,152,117,232,465,31,,398,72,208,282,303,192,156
126,359,20.1,74.5,136,107,271,410,31,,423,73,210,279,319,168,150
138,357,20.1,74.6,133,122,283,399,34,,415,72,206,291,318,176,149
156,367,20.1,74.7,127,132,259,451,31,,407,74,204,251,289,186,151
89,359,20.1,74.8,139,129,247,451,35,,419,75,213,269,301,185,146
117,376,20.1,74.9,151,322,221,437,30,,434,76,230,298,341,195,138
129,366,20.1,75.0,157,120,221,460,27,,460,75,228,310,319,186,150
132,363,20.1,75.1,155,113,181,518,28,,465,74,228,311,301,196,154
