ocs,wv0010,Latitude,wv1500,Longitude,wv0033,phh2o,soc,silt,cec,nitrogen,ocd,clay,Error,sand,cfvo,bdod
,,20.2,,68,,,,,,,,,,,,
,,20.2,,68.1,,,,,,,,,,,,
,,20.2,,68.2,,,,,,,,,,,,
,,20.2,,68.3,,,,,,,,,,,,
,,20.2,,68.4,,,,,,,,,,,,
,,20.2,,68.5,,,,,,,,,,,,
,,20.2,,68.6,,,,,,,,,,,,
,,20.2,,68.7,,,,,,,,,,,,
,,20.2,,68.8,,,,,,,,,,,,
,,20.2,,68.9,,,,,,,,,,,,
,,20.2,,69.0,,,,,,,,,,,,
,,20.2,,69.1,,,,,,,,,,,,
,,20.2,,69.2,,,,,,,,,,,,
,,20.2,,69.3,,,,,,,,,,,,
,,20.2,,69.4,,,,,,,,,,,,
,,20.2,,69.5,,,,,,,,,,,,
,,20.2,,69.6,,,,,,,,,,,,
,,20.2,,69.7,,,,,,,,,,,,
,,20.2,,69.8,,,,,,,,,,,,
,,20.2,,69.9,,,,,,,,,,,,
,,20.2,,70.0,,,,,,,,,,,,
,,20.2,,70.1,,,,,,,,,,,,
,,20.2,,70.2,,,,,,,,,,,,
,,20.2,,70.3,,,,,,,,,,,,
,,20.2,,70.4,,,,,,,,,,,,
,,20.2,,70.5,,,,,,,,,,,,
,,20.2,,70.6,,,,,,,,,,,,
,,20.2,,70.7,,,,,,,,,,,,
,,20.2,,70.8,,,,,,,,,,,,
,,20.2,,70.9,,,,,,,,,,,,
,,20.2,,71.0,,,,,,,,,,,,
,,20.2,,71.1,,,,,,,,,,,,
,,20.2,,71.2,,,,,,,,,,,,
,,20.2,,71.3,,,,,,,,,,,,
,,20.2,,71.4,,,,,,,,,,,,
,,20.2,,71.5,,,,,,,,,,,,
,,20.2,,71.6,,,,,,,,,,,,
,,20.2,,71.7,,,,,,,,,,,,
,,20.2,,71.8,,,,,,,,,,,,
,,20.2,,71.9,,,,,,,,,,,,
,,20.2,,72.0,,,,,,,,,,,,
,,20.2,,72.1,,,,,,,,,,,,
,,20.2,,72.2,,,,,,,,,,,,
,,20.2,,72.3,,,,,,,,,,,,
,,20.2,,72.4,,,,,,,,,,,,
,,20.2,,72.5,,,,,,,,,,,,
,,20.2,,72.6,,,,,,,,,,,,
,,20.2,,72.7,,,,,,,,,,,,
44,379,20.2,218,72.8,354,72,198,314,305,229,284,414,,271,55,106
41,373,20.2,171,72.9,343,71,146,297,265,197,278,392,,311,99,142
46,396,20.2,197,73.0,352,68,162,278,278,236,283,407,,315,73,138
,,20.2,,73.1,,,,,,,,,,,,
49,389,20.2,178,73.2,358,65,241,260,267,353,257,399,,341,215,142
47,392,20.2,182,73.3,343,65,259,272,279,315,284,369,,359,281,142
48,397,20.2,174,73.4,358,65,253,283,259,324,275,359,,359,279,148
46,402,20.2,189,73.5,361,65,262,276,302,242,275,397,,327,299,144
43,391,20.2,187,73.6,349,64,199,281,305,199,249,417,,302,222,155
41,400,20.2,202,73.7,369,67,159,325,407,181,228,420,,255,165,152
38,402,20.2,197,73.8,363,69,183,302,432,182,249,450,,249,209,158
35,355,20.2,194,73.9,288,70,134,288,400,148,192,466,,247,173,158
33,394,20.2,210,74.0,303,71,132,323,371,156,219,475,,202,116,156
30,388,20.2,202,74.1,303,72,116,305,390,152,194,475,,219,128,144
30,378,20.2,199,74.2,288,72,114,309,381,138,195,432,,259,107,141
29,360,20.2,199,74.3,280,72,110,301,373,137,191,420,,279,89,152
31,369,20.2,194,74.4,268,71,190,291,389,195,229,423,,286,267,143
29,361,20.2,187,74.5,256,70,142,262,376,139,184,453,,285,234,153
29,355,20.2,198,74.6,263,71,136,239,369,127,187,463,,298,206,154
32,343,20.2,200,74.7,230,71,171,276,407,119,194,432,,292,230,149
31,358,20.2,212,74.8,301,73,142,258,406,127,182,488,,254,127,155
31,353,20.2,205,74.9,326,73,111,282,409,125,182,449,,268,152,157
30,370,20.2,223,75.0,319,71,111,295,440,140,176,463,,242,203,149
31,366,20.2,217,75.1,298,72,120,272,421,124,189,506,,222,148,146
31,368,20.2,216,75.2,322,71,125,285,393,119,195,510,,204,167,153
31,370,20.2,218,75.3,321,70,137,285,412,141,192,467,,248,239,152
33,344,20.2,208,75.4,303,72,124,284,435,141,195,476,,240,145,149
33,329,20.2,193,75.5,299,71,137,271,402,144,193,445,,284,166,151
30,357,20.2,231,75.6,295,73,92,280,477,124,189,477,,243,119,154
30,365,20.2,234,75.7,317,73,97,300,482,107,186,460,,240,107,158
30,374,20.2,215,75.8,312,73,109,279,487,101,183,492,,229,102,159
27,362,20.2,221,75.9,293,73,92,285,479,106,164,486,,229,94,159
30,340,20.2,203,76.0,324,73,93,240,448,102,169,491,,269,158,161
27,345,20.2,203,76.1,283,72,93,266,484,100,171,499,,235,168,156
35,328,20.2,203,76.2,332,71,145,282,445,117,195,464,,255,271,160
29,327,20.2,205,76.3,319,72,116,238,442,105,192,484,,277,181,158
33,336,20.2,213,76.4,327,71,122,270,463,138,175,491,,239,214,162
33,345,20.2,212,76.5,326,73,161,267,428,123,213,506,,227,206,159
35,337,20.2,212,76.6,343,73,153,284,446,125,209,468,,248,223,156
31,328,20.2,213,76.7,331,72,126,278,463,123,188,465,,257,214,159
30,329,20.2,215,76.8,325,73,135,290,471,142,191,467,,243,180,160
30,365,20.2,217,76.9,350,71,121,229,462,143,181,517,,255,226,159
32,364,20.2,214,77.0,341,71,123,237,443,145,193,526,,237,179,159
32,361,20.2,215,77.1,345,72,102,233,458,128,181,535,,231,202,156
34,365,20.2,215,77.2,351,71,126,242,456,125,197,533,,226,188,162
33,369,20.2,212,77.3,331,71,124,273,461,122,188,489,,238,202,159
35,370,20.2,205,77.4,362,71,133,257,443,122,193,513,,229,236,159
33,367,20.2,202,77.5,355,72,124,267,425,101,192,473,,259,193,161
31,370,20.2,188,77.6,348,73,107,304,406,93,170,443,,254,174,162
29,376,20.2,178,77.7,338,73,107,301,375,91,194,444,,255,137,157
33,377,20.2,196,77.8,346,71,134,314,400,125,188,428,,258,246,160
28,336,20.2,197,77.9,341,74,97,270,396,88,162,434,,296,154,161
27,340,20.2,178,78.0,343,73,134,330,375,96,198,403,,267,146,160
29,332,20.2,185,78.1,224,71,100,291,366,91,170,420,,289,157,159
31,368,20.2,194,78.2,353,73,101,356,347,103,179,422,,222,159,159
30,333,20.2,189,78.3,346,71,113,324,389,113,176,417,,259,172,161
33,387,20.2,193,78.4,351,71,136,349,338,141,181,423,,227,210,158
33,341,20.2,187,78.5,352,71,144,280,381,131,192,459,,262,223,161
33,337,20.2,187,78.6,344,71,136,285,380,132,198,444,,271,208,161
32,355,20.2,188,78.7,354,70,127,317,381,125,187,389,,294,192,157
27,342,20.2,177,78.8,348,72,125,289,357,120,206,417,,294,193,161
27,349,20.2,180,78.9,358,73,120,295,365,122,178,422,,283,118,160
28,355,20.2,181,79.0,355,73,138,372,350,118,175,360,,267,126,161
28,336,20.2,180,79.1,343,73,122,329,358,121,180,376,,295,152,159
27,334,20.2,184,79.2,361,71,122,337,369,130,185,387,,277,147,162
,,20.2,,79.3,,,,,,,,,,,,
45,342,20.2,154,79.4,246,63,176,361,312,145,227,367,,272,171,156
47,345,20.2,158,79.5,293,63,241,336,323,157,226,402,,262,178,155
35,382,20.2,175,79.6,341,70,156,344,330,152,199,375,,281,232,156
39,367,20.2,153,79.7,359,72,163,419,329,181,228,322,,259,165,155
45,355,20.2,166,79.8,359,65,156,360,320,190,232,368,,272,216,158
44,354,20.2,169,79.9,355,71,150,322,309,218,242,380,,298,155,157
50,366,20.2,174,80.0,351,72,145,357,289,204,212,353,,291,139,159
54,361,20.2,172,80.1,349,71,144,366,297,227,218,351,,284,136,160
50,390,20.2,170,80.2,342,61,241,364,276,210,220,351,,285,115,153
50,385,20.2,176,80.3,328,60,277,301,288,183,237,374,,325,247,149
45,379,20.2,156,80.4,351,60,311,297,255,191,230,380,,323,185,141
46,392,20.2,161,80.5,348,61,165,343,239,155,210,344,,313,150,157
,,20.2,,80.6,,,,,,,,,,,,
46,401,20.2,153,80.7,334,59,272,299,215,190,232,353,,348,179,145
39,409,20.2,155,80.8,345,68,158,321,198,152,238,368,,312,113,153
46,390,20.2,151,80.9,329,59,383,256,287,199,257,385,,359,219,133
47,396,20.2,153,81.0,343,65,163,282,215,180,220,389,,329,132,153
46,386,20.2,146,81.1,334,64,186,254,175,205,230,341,,404,139,154
52,363,20.2,143,81.2,320,59,332,231,249,209,268,309,,460,188,127
50,376,20.2,155,81.3,351,59,365,219,259,228,267,327,,454,188,126
51,381,20.2,147,81.4,344,60,295,208,264,205,266,330,,463,243,129
39,389,20.2,132,81.5,350,61,226,219,252,199,217,331,,451,99,148
49,382,20.2,150,81.6,271,60,307,222,261,217,280,302,,476,196,127
47,378,20.2,157,81.7,291,60,325,225,281,190,278,311,,465,156,128
36,393,20.2,146,81.8,344,65,164,249,323,201,218,313,,438,145,148
42,378,20.2,148,81.9,341,60,291,245,253,174,223,297,,457,151,139
40,365,20.2,147,82.0,348,60,255,215,263,155,227,332,,453,150,138
,,20.2,,82.1,,,,,,,,,,,,
42,386,20.2,155,82.2,307,60,283,243,258,165,224,334,,424,140,136
42,382,20.2,158,82.3,349,62,273,248,267,194,274,320,,431,132,141
47,382,20.2,153,82.4,347,61,283,266,312,221,282,324,,409,221,129
35,401,20.2,158,82.5,354,65,184,317,278,170,222,319,,364,125,140
34,394,20.2,156,82.6,334,68,147,341,274,154,225,333,,325,107,146
37,405,20.2,154,82.7,336,66,172,329,260,172,253,343,,328,166,143
42,424,20.2,145,82.8,339,66,227,319,265,171,256,345,,337,184,145
35,415,20.2,145,82.9,335,64,135,339,244,147,204,327,,334,155,152
41,411,20.2,150,83.0,347,65,172,337,243,186,230,316,,347,100,148
41,411,20.2,154,83.1,338,65,144,340,240,159,223,306,,353,102,146
39,409,20.2,146,83.2,339,66,148,350,229,164,224,295,,355,76,143
49,414,20.2,143,83.3,328,64,256,321,238,198,263,325,,354,153,140
41,412,20.2,139,83.4,319,65,175,308,250,166,231,321,,370,60,140
47,396,20.2,137,83.5,331,64,207,293,209,165,249,308,,399,122,136
48,387,20.2,141,83.6,323,59,270,305,220,185,291,261,,434,163,131
60,383,20.2,166,83.7,346,58,370,310,214,251,330,307,,383,244,119
51,418,20.2,157,83.8,342,58,294,283,215,221,302,346,,370,157,129
48,396,20.2,149,83.9,338,63,262,305,182,209,289,318,,377,142,133
49,397,20.2,151,84.0,330,62,237,300,192,226,292,352,,348,147,133
59,384,20.2,168,84.1,328,57,331,316,201,302,335,314,,370,186,119
41,385,20.2,162,84.2,340,62,237,281,174,200,291,330,,389,109,131
59,402,20.2,165,84.3,336,63,356,336,221,240,337,298,,367,163,125
54,404,20.2,165,84.4,346,58,336,321,206,253,310,304,,374,183,121
53,403,20.2,157,84.5,338,62,267,335,203,201,301,286,,379,143,128
55,402,20.2,157,84.6,336,58,336,345,206,251,354,280,,374,202,128
54,405,20.2,172,84.7,338,58,294,364,213,248,326,275,,361,200,125
45,399,20.2,155,84.8,342,60,253,332,197,204,331,297,,371,136,127
58,414,20.2,168,84.9,343,57,355,329,188,282,363,293,,378,208,120
40,397,20.2,161,85.0,340,62,239,294,158,159,292,328,,378,69,132
45,398,20.2,164,85.1,343,62,338,320,172,184,312,288,,391,93,128
45,399,20.2,143,85.2,327,61,212,311,184,204,269,292,,397,104,136
44,389,20.2,161,85.3,340,62,281,269,183,198,295,288,,443,133,131
44,399,20.2,154,85.4,303,62,235,305,195,212,292,312,,383,133,133
49,399,20.2,154,85.5,315,63,253,341,202,214,293,313,,346,94,132
45,395,20.2,142,85.6,319,62,240,303,201,192,285,315,,382,163,134
46,385,20.2,146,85.7,306,63,242,335,189,196,299,304,,361,85,133
46,394,20.2,171,85.8,309,64,266,329,185,174,305,328,,342,112,131
44,388,20.2,185,85.9,332,64,214,344,175,170,311,344,,312,90,129
46,386,20.2,182,86.0,326,65,213,359,184,173,325,332,,309,64,128
47,400,20.2,194,86.1,326,64,223,365,199,178,340,339,,295,74,129
49,386,20.2,198,86.2,300,66,255,385,187,176,331,329,,287,55,125
53,392,20.2,200,86.3,314,65,238,411,204,235,345,335,,254,61,126
48,371,20.2,205,86.4,312,66,220,412,178,207,340,392,,196,49,121
,,20.2,,86.5,,,,,,,,,,,,
,,20.2,,86.6,,,,,,,,,,,,
,,20.2,,86.7,,,,,,,,,,,,
,,20.2,,86.8,,,,,,,,,,,,
,,20.2,,86.9,,,,,,,,,,,,
,,20.2,,87.0,,,,,,,,,,,,
,,20.2,,87.1,,,,,,,,,,,,
,,20.2,,87.2,,,,,,,,,,,,
,,20.2,,87.3,,,,,,,,,,,,
,,20.2,,87.4,,,,,,,,,,,,
,,20.2,,87.5,,,,,,,,,,,,
,,20.2,,87.6,,,,,,,,,,,,
,,20.2,,87.7,,,,,,,,,,,,
,,20.2,,87.8,,,,,,,,,,,,
,,20.2,,87.9,,,,,,,,,,,,
,,20.2,,88.0,,,,,,,,,,,,
,,20.2,,88.1,,,,,,,,,,,,
,,20.2,,88.2,,,,,,,,,,,,
,,20.2,,88.3,,,,,,,,,,,,
,,20.2,,88.4,,,,,,,,,,,,
,,20.2,,88.5,,,,,,,,,,,,
,,20.2,,88.6,,,,,,,,,,,,
,,20.2,,88.7,,,,,,,,,,,,
,,20.2,,88.8,,,,,,,,,,,,
,,20.2,,88.9,,,,,,,,,,,,
,,20.2,,89.0,,,,,,,,,,,,
,,20.2,,89.1,,,,,,,,,,,,
,,20.2,,89.2,,,,,,,,,,,,
,,20.2,,89.3,,,,,,,,,,,,
,,20.2,,89.4,,,,,,,,,,,,
,,20.2,,89.5,,,,,,,,,,,,
,,20.2,,89.6,,,,,,,,,,,,
,,20.2,,89.7,,,,,,,,,,,,
,,20.2,,89.8,,,,,,,,,,,,
,,20.2,,89.9,,,,,,,,,,,,
,,20.2,,90.0,,,,,,,,,,,,
,,20.2,,90.1,,,,,,,,,,,,
,,20.2,,90.2,,,,,,,,,,,,
,,20.2,,90.3,,,,,,,,,,,,
,,20.2,,90.4,,,,,,,,,,,,
,,20.2,,90.5,,,,,,,,,,,,
,,20.2,,90.6,,,,,,,,,,,,
,,20.2,,90.7,,,,,,,,,,,,
,,20.2,,90.8,,,,,,,,,,,,
,,20.2,,90.9,,,,,,,,,,,,
,,20.2,,91.0,,,,,,,,,,,,
,,20.2,,91.1,,,,,,,,,,,,
,,20.2,,91.2,,,,,,,,,,,,
,,20.2,,91.3,,,,,,,,,,,,
,,20.2,,91.4,,,,,,,,,,,,
,,20.2,,91.5,,,,,,,,,No data available,,,
,,20.2,,91.6,,,,,,,,,,,,
,,20.2,,91.7,,,,,,,,,,,,
,,20.2,,91.8,,,,,,,,,,,,
,,20.2,,91.9,,,,,,,,,No data available,,,
,,20.2,,92.0,,,,,,,,,,,,
,,20.2,,92.1,,,,,,,,,,,,
