ocs,wv0010,bdod,cec,nitrogen,ocd,wv0033,clay,silt,Longitude,Latitude,soc,phh2o,wv1500,cfvo,sand
32,351,162,438,109,177,356,439,313,77.8,20.4,107,73,199,185,247
29,352,161,428,103,170,352,476,299,77.9,20.4,108,72,198,164,225
30,350,162,397,108,193,358,454,319,78.0,20.4,128,72,202,198,228
32,350,162,440,118,186,361,454,309,78.1,20.4,163,71,214,223,237
30,388,159,444,120,183,358,434,346,78.2,20.4,146,71,200,207,221
34,356,159,396,142,186,351,471,270,78.3,20.4,143,68,196,256,259
29,388,135,377,129,191,362,459,320,78.4,20.4,402,71,204,195,221
29,361,161,392,113,174,343,433,302,78.5,20.4,139,71,202,189,266
29,333,161,380,144,213,340,423,312,78.6,20.4,132,72,201,173,266
28,341,161,371,130,183,347,447,302,78.7,20.4,115,72,192,154,251
34,350,161,371,147,192,349,404,329,78.8,20.4,130,71,189,153,267
30,344,162,378,127,172,354,409,314,78.9,20.4,121,72,200,151,277
30,351,164,390,122,179,360,410,361,79.0,20.4,124,72,209,155,229
32,355,159,371,120,195,354,419,357,79.1,20.4,123,71,193,143,224
29,356,162,359,153,184,365,395,375,79.2,20.4,125,73,197,137,230
36,352,153,338,128,191,289,400,349,79.3,20.4,219,62,173,203,251
28,348,159,388,147,176,364,401,356,79.4,20.4,120,71,195,165,243
33,359,162,380,151,202,367,426,341,79.5,20.4,136,71,192,160,234
47,361,161,353,164,220,357,408,354,79.6,20.4,164,72,183,177,238
38,369,160,351,152,200,360,435,339,79.7,20.4,139,72,184,137,226
45,393,155,322,170,225,340,390,371,79.8,20.4,215,62,170,128,240
47,364,159,344,158,226,355,399,369,79.9,20.4,142,72,188,135,232
37,369,157,338,168,235,362,385,361,80.0,20.4,151,72,178,122,254
39,363,157,336,157,239,344,393,362,80.1,20.4,153,72,192,159,246
48,363,155,264,152,229,349,345,391,80.2,20.4,187,63,167,156,264
49,393,148,243,165,244,348,328,362,80.3,20.4,279,60,167,226,309
51,391,155,285,183,232,343,355,369,80.4,20.4,172,68,172,181,275
49,381,151,268,185,251,251,370,312,80.5,20.4,217,62,160,211,317
42,386,156,249,185,219,349,400,289,80.6,20.4,184,62,165,196,311
46,393,153,232,226,230,350,418,280,80.7,20.4,193,61,150,235,302
38,415,154,236,190,242,353,414,318,80.8,20.4,123,68,160,106,268
42,413,151,233,190,239,346,352,355,80.9,20.4,236,60,154,189,293
44,380,139,282,250,261,341,366,285,81.0,20.4,324,59,152,184,349
40,404,152,285,166,213,341,352,270,81.1,20.4,118,67,148,101,378
41,389,150,313,173,213,308,316,256,81.2,20.4,140,64,160,158,428
41,400,146,305,159,215,336,335,228,81.3,20.4,175,60,153,153,437
40,382,147,306,197,233,343,339,246,81.4,20.4,158,65,142,127,415
35,380,151,201,164,214,340,325,265,81.5,20.4,144,65,130,123,410
36,379,152,260,175,212,346,357,207,81.6,20.4,128,65,142,150,436
37,376,149,279,161,194,344,350,205,81.7,20.4,150,61,155,207,445
38,376,144,280,159,218,309,334,206,81.8,20.4,200,60,139,156,460
37,390,148,346,176,225,338,336,259,81.9,20.4,144,65,144,148,405
38,376,144,305,142,218,294,349,271,82.0,20.4,189,60,140,123,381
41,409,145,265,169,242,354,342,260,82.1,20.4,217,62,136,101,397
39,401,139,266,189,262,355,327,295,82.2,20.4,248,61,141,138,377
42,408,134,283,177,259,343,363,281,82.3,20.4,259,59,150,176,356
44,396,134,339,244,292,351,371,249,82.4,20.4,393,60,167,162,380
