wv1500,Error,soc,cfvo,ocd,ocs,nitrogen,silt,cec,Longitude,sand,phh2o,Latitude,clay,bdod,wv0033,wv0010
,,,,,,,,,68,,,20.6,,,,
,,,,,,,,,68.1,,,20.6,,,,
,,,,,,,,,68.2,,,20.6,,,,
,,,,,,,,,68.3,,,20.6,,,,
,,,,,,,,,68.4,,,20.6,,,,
,,,,,,,,,68.5,,,20.6,,,,
,,,,,,,,,68.6,,,20.6,,,,
,,,,,,,,,68.7,,,20.6,,,,
,,,,,,,,,68.8,,,20.6,,,,
,,,,,,,,,68.9,,,20.6,,,,
,,,,,,,,,69.0,,,20.6,,,,
,,,,,,,,,69.1,,,20.6,,,,
,,,,,,,,,69.2,,,20.6,,,,
,,,,,,,,,69.3,,,20.6,,,,
,,,,,,,,,69.4,,,20.6,,,,
,,,,,,,,,69.5,,,20.6,,,,
,,,,,,,,,69.6,,,20.6,,,,
,,,,,,,,,69.7,,,20.6,,,,
,,,,,,,,,69.8,,,20.6,,,,
,,,,,,,,,69.9,,,20.6,,,,
,,,,,,,,,70.0,,,20.6,,,,
,,,,,,,,,70.1,,,20.6,,,,
,,,,,,,,,70.2,,,20.6,,,,
,,,,,,,,,70.3,,,20.6,,,,
,,,,,,,,,70.4,,,20.6,,,,
,,,,,,,,,70.5,,,20.6,,,,
,,,,,,,,,70.6,,,20.6,,,,
,,,,,,,,,70.7,,,20.6,,,,
,,,,,,,,,70.8,,,20.6,,,,
,,,,,,,,,70.9,,,20.6,,,,
,,,,,,,,,71.0,,,20.6,,,,
,,,,,,,,,71.1,,,20.6,,,,
,,,,,,,,,71.2,,,20.6,,,,
,,,,,,,,,71.3,,,20.6,,,,
,,,,,,,,,71.4,,,20.6,,,,
,,,,,,,,,71.5,,,20.6,,,,
,,,,,,,,,71.6,,,20.6,,,,
,,,,,,,,,71.7,,,20.6,,,,
,,,,,,,,,71.8,,,20.6,,,,
,,,,,,,,,71.9,,,20.6,,,,
,,,,,,,,,72.0,,,20.6,,,,
,,,,,,,,,72.1,,,20.6,,,,
,,,,,,,,,72.2,,,20.6,,,,
,,,,,,,,,72.3,,,20.6,,,,
,,,,,,,,,72.4,,,20.6,,,,
,,,,,,,,,72.5,,,20.6,,,,
,,,,,,,,,72.6,,,20.6,,,,
,,,,,,,,,72.7,,,20.6,,,,
,,,,,,,,,72.8,,,20.6,,,,
188,,376,88,356,68,230,347,273,72.9,351,69,20.6,302,130,358,381
190,,181,116,281,42,213,317,261,73.0,313,71,20.6,370,143,348,388
198,,154,87,238,38,200,304,267,73.1,322,72,20.6,374,144,358,391
175,,176,131,257,49,234,268,268,73.2,349,67,20.6,383,151,348,399
173,,160,157,256,46,253,261,285,73.3,355,65,20.6,384,149,362,398
178,,218,230,242,38,224,247,273,73.4,361,64,20.6,392,149,349,399
183,,213,244,249,44,228,259,360,73.5,320,63,20.6,421,148,367,400
200,,245,258,253,39,206,261,374,73.6,280,66,20.6,459,144,363,403
207,,249,237,251,42,205,270,358,73.7,264,65,20.6,466,146,376,405
231,,229,265,249,46,207,328,412,73.8,209,68,20.6,463,145,376,408
211,,139,194,227,33,192,309,440,73.9,218,70,20.6,473,154,368,398
210,,118,189,188,30,167,276,410,74.0,231,69,20.6,493,148,321,366
216,,123,167,189,28,169,280,448,74.1,198,70,20.6,523,155,280,380
,,,,,,,,,74.2,,,20.6,,,,
196,,172,217,196,32,169,312,382,74.3,274,72,20.6,415,150,298,373
189,,128,180,185,27,118,289,345,74.4,257,73,20.6,454,156,302,374
181,,102,103,188,27,125,309,348,74.5,254,74,20.6,438,151,307,368
208,,85,94,169,27,102,310,396,74.6,243,73,20.6,448,151,289,371
199,,110,99,176,28,105,291,378,74.7,267,73,20.6,443,151,274,330
199,,121,122,186,28,111,292,400,74.8,285,74,20.6,423,150,309,331
191,,114,133,166,29,113,309,428,74.9,296,76,20.6,396,153,291,331
207,,105,83,171,29,117,319,428,75.0,269,74,20.6,412,154,313,327
206,,100,135,177,27,110,345,428,75.1,236,72,20.6,418,163,277,333
202,,103,174,191,27,128,261,434,75.2,298,74,20.6,441,161,297,342
