wv1500,cfvo,cec,Latitude,clay,silt,wv0010,wv0033,ocd,ocs,Longitude,phh2o,sand,bdod,soc,nitrogen
,,,10.1,,,,,,,68,,,,,
,,,10.1,,,,,,,68.1,,,,,
,,,10.1,,,,,,,68.2,,,,,
,,,10.1,,,,,,,68.3,,,,,
,,,10.1,,,,,,,68.4,,,,,
,,,10.1,,,,,,,68.5,,,,,
,,,10.1,,,,,,,68.6,,,,,
,,,10.1,,,,,,,68.7,,,,,
,,,10.1,,,,,,,68.8,,,,,
,,,10.1,,,,,,,68.9,,,,,
,,,10.1,,,,,,,69.0,,,,,
,,,10.1,,,,,,,69.1,,,,,
,,,10.1,,,,,,,69.2,,,,,
,,,10.1,,,,,,,69.3,,,,,
,,,10.1,,,,,,,69.4,,,,,
,,,10.1,,,,,,,69.5,,,,,
,,,10.1,,,,,,,69.6,,,,,
,,,10.1,,,,,,,69.7,,,,,
,,,10.1,,,,,,,69.8,,,,,
,,,10.1,,,,,,,69.9,,,,,
,,,10.1,,,,,,,70.0,,,,,
,,,10.1,,,,,,,70.1,,,,,
,,,10.1,,,,,,,70.2,,,,,
,,,10.1,,,,,,,70.3,,,,,
,,,10.1,,,,,,,70.4,,,,,
,,,10.1,,,,,,,70.5,,,,,
,,,10.1,,,,,,,70.6,,,,,
,,,10.1,,,,,,,70.7,,,,,
,,,10.1,,,,,,,70.8,,,,,
,,,10.1,,,,,,,70.9,,,,,
,,,10.1,,,,,,,71.0,,,,,
,,,10.1,,,,,,,71.1,,,,,
,,,10.1,,,,,,,71.2,,,,,
,,,10.1,,,,,,,71.3,,,,,
,,,10.1,,,,,,,71.4,,,,,
,,,10.1,,,,,,,71.5,,,,,
,,,10.1,,,,,,,71.6,,,,,
,,,10.1,,,,,,,71.7,,,,,
,,,10.1,,,,,,,71.8,,,,,
,,,10.1,,,,,,,71.9,,,,,
,,,10.1,,,,,,,72.0,,,,,
,,,10.1,,,,,,,72.1,,,,,
,,,10.1,,,,,,,72.2,,,,,
,,,10.1,,,,,,,72.3,,,,,
,,,10.1,,,,,,,72.4,,,,,
,,,10.1,,,,,,,72.5,,,,,
,,,10.1,,,,,,,72.6,,,,,
,,,10.1,,,,,,,72.7,,,,,
,,,10.1,,,,,,,72.8,,,,,
,,,10.1,,,,,,,72.9,,,,,
,,,10.1,,,,,,,73.0,,,,,
,,,10.1,,,,,,,73.1,,,,,
,,,10.1,,,,,,,73.2,,,,,
,,,10.1,,,,,,,73.3,,,,,
,,,10.1,,,,,,,73.4,,,,,
,,,10.1,,,,,,,73.5,,,,,
,,,10.1,,,,,,,73.6,,,,,
,,,10.1,,,,,,,73.7,,,,,
,,,10.1,,,,,,,73.8,,,,,
,,,10.1,,,,,,,73.9,,,,,
,,,10.1,,,,,,,74.0,,,,,
,,,10.1,,,,,,,74.1,,,,,
,,,10.1,,,,,,,74.2,,,,,
,,,10.1,,,,,,,74.3,,,,,
,,,10.1,,,,,,,74.4,,,,,
,,,10.1,,,,,,,74.5,,,,,
,,,10.1,,,,,,,74.6,,,,,
,,,10.1,,,,,,,74.7,,,,,
,,,10.1,,,,,,,74.8,,,,,
,,,10.1,,,,,,,74.9,,,,,
,,,10.1,,,,,,,75.0,,,,,
,,,10.1,,,,,,,75.1,,,,,
,,,10.1,,,,,,,75.2,,,,,
,,,10.1,,,,,,,75.3,,,,,
,,,10.1,,,,,,,75.4,,,,,
,,,10.1,,,,,,,75.5,,,,,
,,,10.1,,,,,,,75.6,,,,,
,,,10.1,,,,,,,75.7,,,,,
,,,10.1,,,,,,,75.8,,,,,
,,,10.1,,,,,,,75.9,,,,,
,,,10.1,,,,,,,76.0,,,,,
,,,10.1,,,,,,,76.1,,,,,
,,,10.1,,,,,,,76.2,,,,,
179,92,192,10.1,339,312,379,325,395,55,76.3,54,350,119,540,318
171,131,148,10.1,317,232,383,325,343,48,76.4,55,450,122,378,343
170,110,140,10.1,317,279,388,329,336,53,76.5,52,404,121,402,306
159,98,178,10.1,282,300,380,320,329,50,76.6,53,418,119,340,367
173,185,154,10.1,329,281,402,323,357,63,76.7,53,390,107,323,381
180,124,180,10.1,333,279,409,331,401,63,76.8,52,388,104,488,469
193,142,184,10.1,342,309,425,334,476,76,76.9,52,349,101,635,736
201,82,190,10.1,324,332,398,326,526,65,77.0,52,344,95,618,546
195,97,206,10.1,350,330,424,351,554,68,77.1,54,320,101,521,558
195,159,225,10.1,307,363,440,388,529,81,77.2,55,330,97,735,515
200,102,213,10.1,373,296,399,318,467,74,77.3,57,330,117,583,465
185,114,231,10.1,327,281,389,318,469,68,77.4,56,392,106,544,509
152,153,251,10.1,319,244,376,295,327,50,77.5,68,437,130,413,302
171,84,250,10.1,317,255,370,292,324,45,77.6,66,428,139,301,234
149,87,236,10.1,322,260,362,266,282,38,77.7,71,418,148,282,185
150,76,246,10.1,353,254,364,292,289,40,77.8,70,392,150,358,203
162,121,242,10.1,305,244,365,281,286,39,77.9,71,452,148,325,245
159,84,249,10.1,313,271,358,263,332,42,78.0,69,416,144,290,249
154,87,273,10.1,298,300,371,293,321,43,78.1,71,402,145,303,244
178,113,254,10.1,297,316,350,312,360,58,78.2,61,387,120,404,372
181,104,256,10.1,322,272,334,285,317,38,78.3,69,406,146,309,244
169,92,281,10.1,354,276,326,292,302,40,78.4,70,370,144,310,263
181,76,294,10.1,348,293,334,285,281,43,78.5,71,359,146,302,255
174,69,272,10.1,357,265,336,269,298,37,78.6,70,378,149,300,280
170,105,317,10.1,331,282,330,265,307,37,78.7,72,387,145,328,238
178,121,279,10.1,300,305,339,289,303,35,78.8,69,395,142,332,243
176,67,284,10.1,349,289,348,284,327,36,78.9,73,362,144,329,243
180,61,300,10.1,351,261,356,288,317,35,79.0,75,388,144,338,273
196,59,300,10.1,355,335,351,300,320,47,79.1,67,310,141,320,349
188,52,266,10.1,353,320,369,300,317,44,79.2,67,326,137,339,331
,,,10.1,,,,,,,79.3,,,,,
,,,10.1,,,,,,,79.4,,,,,
,,,10.1,,,,,,,79.5,,,,,
,,,10.1,,,,,,,79.6,,,,,
,,,10.1,,,,,,,79.7,,,,,
,,,10.1,,,,,,,79.8,,,,,
,,,10.1,,,,,,,79.9,,,,,
,,,10.1,,,,,,,80.0,,,,,
,,,10.1,,,,,,,80.1,,,,,
,,,10.1,,,,,,,80.2,,,,,
,,,10.1,,,,,,,80.3,,,,,
,,,10.1,,,,,,,80.4,,,,,
,,,10.1,,,,,,,80.5,,,,,
,,,10.1,,,,,,,80.6,,,,,
,,,10.1,,,,,,,80.7,,,,,
