Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall,clay,cec,ocs,sand,silt,ocd,nitrogen,wv1500,cfvo,wv0033,wv0010,soc,bdod,phh2o
8.2,93.5,20,28.44,81.54,2.5,267,193,65,444,289,424,492,148,92,330,361,558,81,54
8.3,77.1,27,25.78,81.53,0.15,327,245,57,367,306,356,461,191,110,284,370,528,135,61
8.3,77.2,37,23.03,89.67,0,296,186,50,401,303,311,426,186,65,278,379,408,134,56
8.3,77.3,99,23.03,89.67,0,350,210,54,364,286,339,426,195,135,278,355,514,135,57
8.3,77.4,105,23.03,89.67,0,354,214,58,352,294,366,482,178,133,270,378,526,126,58
8.3,77.5,282,23.03,89.67,0,361,205,63,357,282,406,462,179,117,290,375,510,120,57
8.3,77.6,80,23.03,89.67,0,347,272,43,368,285,328,250,167,53,269,366,268,141,64
8.3,77.7,49,23.03,89.67,0,331,247,38,399,269,274,244,160,77,281,351,432,141,70
8.3,77.8,20,23.03,89.67,0,320,283,43,371,309,297,256,176,63,294,348,639,145,68
8.3,77.9,23,25.88,86.21,0.12,283,239,36,379,338,274,224,168,124,304,348,422,138,69
8.3,79.9,13,26.08,86.28,14.32,267,211,70,456,278,384,525,196,99,314,334,766,122,59
8.3,80,52,26.08,86.28,14.32,257,160,55,562,181,336,485,192,87,301,347,568,125,57
8.3,80.1,94,26.08,86.28,14.32,300,180,57,498,202,351,408,194,105,311,344,481,129,58
8.3,80.2,98,26.08,86.28,14.32,271,207,54,506,223,354,321,181,86,319,324,407,136,60
8.3,80.3,87,26.08,86.28,14.32,253,166,53,532,214,358,373,189,89,301,354,393,135,61
8.3,80.4,94,25.19,90.88,20.32,280,186,59,496,224,368,369,176,107,317,347,364,138,60
8.3,80.5,113,25.19,90.88,20.32,300,181,52,482,218,324,352,173,95,306,361,371,133,59
8.3,80.6,119,25.19,90.88,20.32,279,172,54,458,263,356,514,181,124,311,348,428,129,58
8.3,80.7,120,25.19,90.88,20.32,280,209,55,423,297,355,475,200,149,310,378,403,128,59
8.3,80.8,129,25.19,90.88,20.32,294,217,57,402,304,391,517,209,165,311,378,515,130,59
8.3,80.9,217,25.19,90.88,20.32,326,202,65,344,330,372,628,198,188,308,387,821,111,57
8.3,81,48,26.88,83.72,17.2,336,199,53,334,330,372,508,200,114,306,386,653,130,59
8.3,81.1,30,26.88,83.72,17.2,356,260,58,339,305,361,466,204,89,303,391,555,130,62
8.3,81.2,21,26.88,83.72,17.2,283,274,64,363,354,398,693,205,93,316,371,950,115,58
8.3,81.3,18,26.88,83.72,17.2,308,250,58,365,326,395,615,185,104,312,360,569,126,62
